time,dist,path_x,path_y,path_z,path_vx,path_vy,path_vz,left_edge_x,left_edge_y,left_edge_z,right_edge_x,right_edge_y,right_edge_z,e_min,e_max,yaw,yaw_rate,curvature
0,26.7572922385906,0.470831274986267,-79.5411758422852,0,5.38752401859693,0.0308497277718826,0,-0.655219240966854,-76.5292312186126,-4.56306505203247,1.10241908585917,-81.2305383392471,-4.24937391281128,-1.80356558211354,3.21555596756591,0.357772270864763,0.0219452437013388,0.0040732781619906
0,26.8112105558473,0.521205306053162,-79.5219497680664,0,5.39242105339614,0.0317000145873808,0,-0.606311220847121,-76.5081870020964,-4.55827522277832,1.15088204024968,-81.2050260253485,-4.24438953399658,-1.7970082018219,3.21777244813562,0.358001152700703,0.0225627310574055,0.0041840837316324
0,26.8651646813002,0.571617662906647,-79.5027236938477,0,5.39731726994793,0.0326650256626065,0,-0.557371125404453,-76.4871289841619,-4.55348253250122,1.19926115907704,-81.179195972595,-4.23943853378296,-1.79011051605573,3.2200042138508,0.358230034536643,0.0232616420835257,0.0043097737118526
0,26.9191545627089,0.622068285942078,-79.4834976196289,0,5.4023509212785,0.0337404688633428,0,-0.508399015585431,-76.4660571910335,-4.54868507385254,1.24766935591969,-81.153350394824,-4.23494386672974,-1.78319516306652,3.22225124097192,0.358458916372574,0.0240401457995176,0.0044498547582202
0,26.9731892440608,0.672558128833771,-79.4642486572266,0,5.40745362421005,0.0349466237297742,0,-0.459398002571681,-76.4449729613949,-4.54388666152954,1.29612059395263,-81.1274818369689,-4.23058938980103,-1.77628115964249,3.22449227179516,0.358691612905784,0.0249118991196156,0.0046068594628062
0,27.0273063810492,0.723086655139923,-79.4448699951172,0,5.41255720499338,0.0361973917401683,0,-0.410424617144824,-76.4239006193959,-4.53788948059082,1.34469579254042,-81.1015470954431,-4.2262167930603,-1.76945667775282,3.22662420703781,0.358958641714374,0.0258128773421049,0.0047689657853846
0,27.0814589701619,0.773653149604797,-79.4254913330078,0,5.41765969705437,0.0375659186933674,0,-0.361419592123656,-76.4028146634647,-4.53157091140747,1.39329937531955,-81.0755971993387,-4.22131824493408,-1.76261476651653,3.22877134179783,0.359225670522963,0.0267983954399824,0.0049463703385006
0,27.1356467364939,0.82425731420517,-79.4061126708984,0,5.42276011453564,0.0390447160411742,0,-0.312383195187225,-76.3817152087786,-4.52524280548096,1.44193108161941,-81.0496322878301,-4.21564197540283,-1.75575556789403,3.23093355803991,0.359492699331563,0.0278626903891563,0.0051379680451701
0,27.1899075589116,0.874898731708527,-79.3866271972656,0,5.42799506164253,0.0407194233669314,0,-0.263326582069879,-76.3606070554437,-4.51891613006592,1.49064775209319,-81.0236220131741,-4.20996332168579,-1.74897080690787,3.23301017066721,0.359774986929213,0.0290708653628826,0.0053555773483832
0,27.2442190953352,0.925576865673065,-79.3670959472656,0,5.43301294588173,0.0424043155384193,0,-0.214292706601066,-76.3395086856985,-4.5125937461853,1.53944141255678,-80.9975706328605,-4.20429944992065,-1.74220474752148,3.23505599150924,0.360080162710463,0.0302790887653828,0.0055729973135018
0,27.298563336097,0.976290047168732,-79.3475646972656,0,5.43817307384887,0.044186603046062,0,-0.165229821893829,-76.3183978338145,-4.50620365142822,1.5882605761971,-80.9715056361682,-4.19905281066895,-1.73542274430267,3.23711592286945,0.360385338491713,0.0315606668591499,0.0058033506226012
