Dist,PathX,PathY,LeftX,LeftY,RightX,RightY,Heading,Curvature
m,m,m,m,m,m,m,rad,1/m
126.50398254394531,-706.9731966952136,31.601409987573486,-710.9169,28.5277,-703.02954,34.675117,2.2328548,0.03980845
127.52752685546875,-707.6046380358865,32.40699521001448,-711.6663,29.491087,-703.5429,35.322903,2.193436,0.050975483
128.56301879882812,-708.1996919744306,33.25440528576838,-712.29645,30.38791,-704.10297,36.1209,2.1813228,0.000109949804
129.5984649658203,-708.7947459129745,34.10181536152228,-712.94366,31.311419,-704.6458,36.892212,2.1628656,0.008570434
130.63441467285156,-709.3825784769026,34.95484163276011,-713.6296,32.31616,-705.13556,37.593525,2.1267304,0.0580281
131.67588806152344,-709.9207641445495,35.84647920579617,-714.20435,33.267483,-705.6372,38.425472,2.1127367,0.0
132.71734619140625,-710.4589498121966,36.738116778832236,-714.75305,34.17678,-706.1648,39.299454,2.1086195,0.0
133.75881958007812,-710.9971354798435,37.6297543518683,-715.3299,35.134377,-706.66437,40.12513,2.0933278,0.023885658
134.7954864501953,-711.5106711750545,38.530284087506224,-715.86633,36.07506,-707.155,40.985508,2.0840847,0.005266777
135.8311767578125,-712.0188890182902,39.43273217029766,-716.3761,36.980312,-707.6616,41.88515,2.0834413,0.00010987545
136.8668975830078,-712.5271068615259,40.33518025308909,-716.8847,37.883434,-708.1695,42.786922,2.0832865,0.00044361185
137.89617919921875,-713.0317895440985,41.23222651402738,-717.39014,38.78173,-708.67346,43.682724,2.0830002,0.0004517249
138.91946411132812,-713.5331842234564,42.12424861643092,-717.8923,39.675014,-709.17413,44.573483,2.0827103,0.0
139.9427490234375,-714.0345789028141,43.01627071883446,-718.3987,40.57606,-709.67053,45.45648,2.0806413,0.0014287282
140.96380615234375,-714.5336553535132,43.90707741351374,-718.90564,41.481033,-710.1616,46.333122,2.0773988,0.004989437
141.9768524169922,-715.0242007293654,44.793411411237486,-719.3988,42.372,-710.64966,47.21482,2.0763385,0.0
142.9898681640625,-715.5147461052175,45.6797454089612,-719.8929,43.264748,-711.13666,48.09474,2.0748737,5.8711314e-05
144.0028839111328,-716.0052914810695,46.566079406684935,-720.39264,44.167896,-711.618,48.96426,2.0710363,0.006478415
145.00765991210938,-716.4860918278893,47.44837370201355,-720.8778,45.05818,-712.09436,49.838562,2.0692155,0.0006626284
146.01165771484375,-716.9659194182364,48.33026475106759,-721.3608,45.945873,-712.5711,50.714657,2.0678964,6.031295e-05
147.01560974121094,-717.4457470085832,49.21215580012162,-721.8507,46.846478,-713.0408,51.57783,2.0636423,0.005829706
148.01504516601562,-717.9182357000593,50.09285720148771,-722.33167,47.743126,-713.50476,52.44259,2.0600264,0.003807339
149.0115509033203,-718.3859289226708,50.97278124939143,-722.8014,48.62685,-713.97046,53.318714,2.059166,6.167958e-05
150.008056640625,-718.8536221452823,51.85270529729516,-723.27014,49.50866,-714.43713,54.196754,2.0587392,0.00043313214
151.00245666503906,-719.3199205495528,52.73098594561018,-723.73816,50.390194,-714.90173,55.07178,2.0580022,0.0011882077
151.99192810058594,-719.7829700498469,53.60543867791481,-724.20197,51.266167,-715.36395,55.94471,2.0576575,6.3002124e-05
152.98143005371094,-720.2460195501409,54.479891410219444,-724.66327,52.13725,-715.8288,56.822536,2.058421,0.0
153.9709014892578,-720.7090690504348,55.35434414252409,-725.1224,53.004326,-716.2957,57.70436,2.0600913,0.0029857424
154.95494079589844,-721.1721434420344,56.22262095985395,-725.5833,53.86859,-716.7609,58.576653,2.0610008,6.405464e-05
155.93896484375,-721.6352179353523,57.090872539351885,-726.04926,54.742264,-717.2211,59.439484,2.0597718,6.405695e-05
156.92298889160156,-722.09829242867,57.95912411884981,-726.51996,55.62493,-717.6766,60.29332,2.0565095,0.0048217373
157.90463256835938,-722.5560428140834,58.827503233918044,-726.9836,56.504395,-718.1285,61.15061,2.0540035,0.0022619683
158.88522338867188,-723.0114178781124,59.695939248277746,-727.4388,57.372528,-718.58405,62.01935,2.0540717,0.0
159.86581420898438,-723.4667929421413,60.56437526263744,-727.88885,58.230824,-719.04474,62.89793,2.056364,0.0023973994
160.84576416015625,-723.9238859382856,61.43119927472143,-728.33984,59.08608,-719.50793,63.776318,2.0589817,0.0038322734
161.8247528076172,-724.3836994435168,62.295470527706634,-728.7979,59.947018,-719.96954,64.64393,2.059737,6.505307e-05
162.8037109375,-724.8435129487477,63.159741780691846,-729.25165,60.79999,-720.43536,65.519485,2.0622973,0.000845545
163.78280639648438,-725.304072895477,64.02375301581418,-729.69995,61.641212,-720.9082,66.40629,2.0674741,0.009019544
164.7633056640625,-725.7729209001449,64.88487716183762,-730.16345,62.492542,-721.38245,67.27722,2.0697052,0.00012950531
165.7437744140625,-726.2417689048127,65.74600130786108,-730.63403,63.356884,-721.8495,68.13512,2.0689716,0.0
