time,dist,path_x,path_y,path_z,path_vx,path_vy,path_vz,left_edge_x,left_edge_y,left_edge_z,right_edge_x,right_edge_y,right_edge_z,e_min,e_max,yaw,yaw_rate,curvature,old_dist
0,170.606380681862,-35.3410263061523,-85.0774536132812,0,10.4685054051956,0.558728332271742,0,-32.51601292719638,-82.3617474322915,-1.8973265886306763,-39.19857370908915,-88.78574236109878,-1.7740856409072876,-5.350895009537695,3.918642705420541,5.478061723724912,0.529393970966339,0.0504982842167132,175.233715741877
0,170.711182160803,-35.2643203735352,-85.1488647460937,0,10.4629401616461,0.549427906235606,0,-32.47246647638698,-82.43662239280314,-1.8954137563705444,-39.129147399707186,-88.90348369633064,-1.7088963985443115,-5.3883254730674714,3.8923908804235947,5.483324098602842,0.522663414478302,0.049885048920911,175.338517220818
0,170.815935259138,-35.1873550415039,-85.2199249267578,0,10.4578121646787,0.538331493757658,0,-32.42865961663638,-82.51194510758242,-1.8933520317077637,-39.04893962648578,-89.01051849207387,-1.6472070217132568,-5.411139906192163,3.865689479025196,5.488510179535459,0.514128625392914,0.0490971525901316,175.443270319152
0,170.920628180877,-35.1101417541504,-85.2906265258789,0,10.453054104673,0.525582910752696,0,-32.3845605485173,-82.58777025343574,-1.8897656202316284,-38.96503062270834,-89.11337469291911,-1.5949926376342773,-5.428956781697674,3.838518586380137,5.493600893036435,0.503885626792908,0.04814381400877,175.547963240891
0,171.025269109863,-35.0326995849609,-85.3610000610352,0,10.4486100233159,0.511324976742855,0,-32.34013485006013,-82.66415701644067,-1.8852428197860718,-38.881433151954035,-89.2158490145648,-1.5493541955947876,-5.447257156058259,3.810887988226517,5.498580980316709,0.492037504911423,0.047034905480974,175.652604169878
0,171.129860718519,-34.9550476074219,-85.4310684204102,0,10.4444242336829,0.495696067956193,0,-32.2953558193897,-82.7411513085329,-1.880682349205017,-38.79819173411729,-89.3178868842357,-1.5000683069229126,-5.465996208312635,3.782805106808468,5.503437089935849,0.478692620992661,0.0457808295938563,175.757195778534
0,171.234399687143,-34.8772125244141,-85.5008544921875,0,10.4404444811621,0.478827287156485,0,-32.25019319477308,-82.81880516256507,-1.8750426769256592,-38.71536901302188,-89.41941151272651,-1.4688341617584229,-5.485119356427678,3.754280112729424,5.508152055756162,0.463961660861969,0.0443922175867067,175.861734747157
0,171.338889299705,-34.7991981506348,-85.5703659057617,0,10.4366220939052,0.460841647207656,0,-32.20462617042127,-82.89715435258078,-1.86767578125,-38.63300554349617,-89.52037318766567,-1.4405944347381592,-5.504601407245834,3.725300493727869,5.512714433685849,0.447956264019012,0.0428797930575836,175.966224359719
0,171.443330809645,-34.7210311889648,-85.6396331787109,0,10.4329092847643,0.441851989632377,0,-32.15862772397806,-82.97624534155962,-1.8593871593475342,-38.551156707682566,-89.62070402126395,-1.4089879989624023,-5.524381100409266,3.6958823423455227,5.517108964935849,0.430786728858948,0.0412541594346046,176.070665869659
0,171.547734400522,-34.6427192687988,-85.7086791992188,0,10.4291749984726,0.422908279917246,0,-32.1121896837792,-83.05609218008492,-1.8468444347381592,-38.469833620791846,-89.72039038842394,-1.3699902296066284,-5.544423408148479,3.666032988768252,5.521331834808896,0.413288593292236,0.0395955785274611,176.175069460536
